"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"RiverKids Pediatric Home Health","TX","Healthcare Provider","3494","05/10/2022","Hacking/IT Incident","Email","No",""
"McKenzie Health System","MI","Healthcare Provider","25318","05/10/2022","Hacking/IT Incident","Network Server","No",""
"Cypress Healthcare, LLC","AL","Healthcare Provider","900","05/09/2022","Theft","Laptop","No",""
"NuLife Med, LLC","NH","Healthcare Provider","81244","05/09/2022","Hacking/IT Incident","Network Server","No",""
"Healthfirst","NY","Health Plan","5048","05/09/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Oklahoma City Indian Clinic","OK","Healthcare Provider","38239","05/09/2022","Hacking/IT Incident","Network Server","No",""
"Mindpath Care Centers, North Carolina, PLLC ","NC","Healthcare Provider","1781","05/06/2022","Hacking/IT Incident","Email","No",""
"Mississippi Sports Medicine and Orthopaedic Center - MSMOC","MS","Healthcare Provider","500","05/06/2022","Hacking/IT Incident","Network Server","No",""
"North Alabama Bone & Joint Clinic, P.C.","AL","Healthcare Provider","500","05/06/2022","Hacking/IT Incident","Email, Network Server","No",""
"Covenant Care California, LLC, on behalf of Wagner Heights Nursing and Rehabilitation Center","CA","Healthcare Provider","4676","05/06/2022","Hacking/IT Incident","Email","No",""
"Guardian Pharmacy of Cincinnati LLC dba Mullaney’s, A Guardian Pharmacy","OH","Healthcare Provider","1720","05/06/2022","Unauthorized Access/Disclosure","Email","No",""
"WellDyneRx, LLC","FL","Healthcare Provider","5122","05/06/2022","Hacking/IT Incident","Email","No",""
"Optum, Inc. ","MN","Business Associate","1584","05/06/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"SAC Health System","CA","Healthcare Provider","149940","05/05/2022","Theft","Paper/Films","No",""
"Greater Nashua Mental Health","NH","Healthcare Provider","1085","05/04/2022","Hacking/IT Incident","Network Server","No",""
"Vail Health Services","CO","Healthcare Provider","17039","05/04/2022","Hacking/IT Incident","Network Server","No",""
"Thompson Child & Family Focus","NC","Healthcare Provider","986","05/03/2022","Hacking/IT Incident","Network Server","No",""
"Kenosha Community Health Center","WI","Healthcare Provider","2688","05/03/2022","Hacking/IT Incident","Email","No",""
"Shutterfly, LLC","CA","Business Associate","2641","05/03/2022","Loss","Paper/Films","Yes",""
"FPS Medical Center","AZ","Healthcare Provider","28024","05/02/2022","Hacking/IT Incident","Network Server","No",""
"National Imaging Associates, Inc.","MD","Business Associate","744","05/02/2022","Unauthorized Access/Disclosure","Laptop","Yes",""
"Methodist Le Bonheur Healthcare","TN","Healthcare Provider","1370","05/02/2022","Unauthorized Access/Disclosure","Desktop Computer","No",""
"Ad Astra Eye LLC","KS","Healthcare Provider","3684","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Salusive Health Inc. MyNurse","CA","Healthcare Provider","1072","04/29/2022","Hacking/IT Incident","Network Server","No",""
"Refuah Health Center","NY","Healthcare Provider","260740","04/29/2022","Hacking/IT Incident","Network Server","No",""
"Frank Eye Center, P.A.","KS","Healthcare Provider","26333","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"Arkfeld, Parson, and Goldstein, P.C. doing business as ilumin","NE","Healthcare Provider","14984","04/29/2022","Hacking/IT Incident","Electronic Medical Record","Yes",""
"The People Concern","CA","Healthcare Provider","7600","04/28/2022","Hacking/IT Incident","Email","No",""
"Regional Eye Associates, Inc. & Surgical Eye Center of Morgantown","WV","Healthcare Provider","194035","04/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Northern Eye Care Associates, P.C.","MI","Healthcare Provider","8000","04/28/2022","Hacking/IT Incident","Network Server","Yes",""
"Sterling Healthcare Holdings, LLC DBA Cordant Health Solutions","CO","Healthcare Provider","500","04/28/2022","Hacking/IT Incident","Email","No",""
"Affiliated Eye Surgeons","MI","Healthcare Provider","23400","04/28/2022","Hacking/IT Incident","Network Server","No",""
"SUMMIT EYE ASSOCIATES P.C.","TN","Healthcare Provider","53818","04/27/2022","Hacking/IT Incident","Other","Yes",""
"Allied Eye Physicians and Surgeons, Inc.","OH","Healthcare Provider","20651","04/27/2022","Hacking/IT Incident","Network Server","Yes",""
"Southern Ohio Medical Center","OH","Healthcare Provider","15136","04/26/2022","Hacking/IT Incident","Network Server","No",""
"Select Benefits Group, LLC dba Dental Select","UT","Business Associate","1035","04/26/2022","Hacking/IT Incident","Email","Yes",""
"ARcare","AR","Healthcare Provider","345353","04/25/2022","Hacking/IT Incident","Network Server","No",""
"King County Public Hospital District No. 2 d/b/a EvergreenHealth","WA","Healthcare Provider","20533","04/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Montefiore Medical Center ","NY","Healthcare Provider","3717","04/22/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"The Mental Health Center of Greater Manchester","NH","Healthcare Provider","1322","04/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Illinois Gastroenterology Group, PLLC","IL","Healthcare Provider","227943","04/22/2022","Hacking/IT Incident","Network Server","No",""
"JM Pension Advisory Inc.","MD","Business Associate","897","04/22/2022","Loss","Other Portable Electronic Device","Yes",""
"National Imaging Associates, Inc.","MD","Business Associate","616","04/22/2022","Unauthorized Access/Disclosure","Laptop","Yes",""
"Homestead Bldg Sys,Inc.Health  Plan","VA","Health Plan","727","04/21/2022","Hacking/IT Incident","Network Server","No",""
"The Energy Cooperative Group Benefits Plan","OH","Health Plan","875","04/21/2022","Hacking/IT Incident","Network Server","No",""
"County of Los Angeles Department of Mental Health","CA","Healthcare Provider","5129","04/20/2022","Hacking/IT Incident","Email","No",""
"Healthplex, Inc.","NY","Health Plan","89955","04/20/2022","Hacking/IT Incident","Email","No",""
"La Casa de Salud ","NY","Healthcare Provider","9969","04/20/2022","Hacking/IT Incident","Email","No",""
"Wayne Family Practice Associates, PC","GA","Healthcare Provider","5944","04/19/2022","Hacking/IT Incident","Network Server","No",""
"Fairfield County Implants and Periodontics, LLC","CT","Healthcare Provider","10502","04/19/2022","Hacking/IT Incident","Email","No",""
"Optima Dermatology Holdings, LLC","NH","Healthcare Provider","59872","04/18/2022","Hacking/IT Incident","Email","No",""
"HealthActions, P.A.","AL","Healthcare Provider","2369","04/18/2022","Hacking/IT Incident","Email","No",""
"Canon Business Process Services Inc","NY","Business Associate","1625","04/15/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Canon Business Process Services Inc","NY","Business Associate","745","04/15/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Canon Business Process Services Inc","NY","Business Associate","8015","04/15/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Spectrum Health System","MI","Healthcare Provider","794","04/15/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Central Florida Cardiology Group ","FL","Healthcare Provider","1186","04/14/2022","Hacking/IT Incident","Other","Yes",""
"New Creation Counseling Center ","OH","Healthcare Provider","24029","04/14/2022","Hacking/IT Incident","Network Server, Other","No",""
"Newman Regional Health","KS","Healthcare Provider","52224","04/14/2022","Hacking/IT Incident","Email","No",""
"Mountain Area Health Education Center dba MAHEC","NC","Healthcare Provider","1115","04/14/2022","Improper Disposal","Paper/Films","No",""
"Onehome Health Solutions","FL","Healthcare Provider","15401","04/13/2022","Theft","Laptop","No",""
"Lutheran Services Carolinas","NC","Business Associate","1226","04/12/2022","Hacking/IT Incident","Network Server","Yes",""
"Adaptive Health Integrations","ND","Healthcare Provider","510574","04/11/2022","Hacking/IT Incident","Network Server","No",""
"Healthcare Collections - I, LLC","AZ","Business Associate","900","04/11/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Chinese Community Health Plan ","CA","Health Plan","502","04/11/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"Von Behren & Hunter LLP","CA","Business Associate","5852","04/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Altoona Area School District Health Plan","PA","Health Plan","9196","04/11/2022","Hacking/IT Incident","Network Server","No",""
"The MetroHealth System","OH","Healthcare Provider","1748","04/11/2022","Unauthorized Access/Disclosure","Electronic Medical Record, Email, Paper/Films","No",""
"Pediatric Associates, P.C.","VA","Healthcare Provider","13000","04/08/2022","Hacking/IT Incident","Network Server","Yes",""
"Ballad Health","TN","Healthcare Provider","4295","04/08/2022","Hacking/IT Incident","Email","No",""
"Georgia Pines CSB","GA","Healthcare Provider","24000","04/08/2022","Theft","Laptop, Other","No",""
"WellStar Health System, Inc.","GA","Healthcare Provider","30417","04/08/2022","Hacking/IT Incident","Email","No",""
"East Tennessee Children's Hospital","TN","Healthcare Provider","501","04/07/2022","Hacking/IT Incident","Network Server","No",""
"SummaCare Inc","OH","Health Plan","716","04/07/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Bishop Eye Center","SC","Healthcare Provider","2292","04/07/2022","Hacking/IT Incident","Network Server","No",""
"Advantage Benefits Group","MI","Business Associate","7147","04/06/2022","Hacking/IT Incident","Email","Yes",""
"Kaiser Foundation Health Plan, Inc.","CA","Health Plan","695","04/06/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Central Vermont Eye Care","VT","Healthcare Provider","30000","04/06/2022","Hacking/IT Incident","Electronic Medical Record, Other","Yes",""
"State of Arizona Department of Administration","AZ","Health Plan","820","04/05/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"River City Insurance Group d/b/a Lavinder Group & Associates","VA","Business Associate","1118","04/05/2022","Hacking/IT Incident","Email","Yes",""
"The Guidance Center, Inc.","AZ","Healthcare Provider","23104","04/05/2022","Hacking/IT Incident","Email","No",""
"Urgent Team Holdings","TN","Healthcare Provider","166601","03/31/2022","Hacking/IT Incident","Network Server","No",""
"Englewood Health","NJ","Healthcare Provider","3901","03/30/2022","Hacking/IT Incident","Network Server","No",""
"Resources for Human Development","PA","Healthcare Provider","46673","03/29/2022","Theft","Other Portable Electronic Device","No",""
"Law Enforcement Health Benefits, Inc.","PA","Health Plan","85282","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Medical Surgical Eye Care","KS","Healthcare Provider","2000","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Super Care, Inc. dba SuperCare Health","CA","Healthcare Provider","318379","03/28/2022","Hacking/IT Incident","Network Server","No",""
"Charleston Area Medical Center, Inc.","WV","Healthcare Provider","54000","03/28/2022","Hacking/IT Incident","Email","No",""
"Colorado Physician Partners, PLLC","CO","Healthcare Provider","12877","03/25/2022","Hacking/IT Incident","Email","No",""
"Cytometry Specialists, Inc., d/b/a CSI Laboratories","GA","Healthcare Provider","312000","03/25/2022","Hacking/IT Incident","Network Server","No",""
"Lutheran Social Services of Illinois","IL","Healthcare Provider","1000","03/25/2022","Hacking/IT Incident","Network Server","No",""
"Christie Business Holdings Company, P.C.","IL","Healthcare Provider","502869","03/25/2022","Hacking/IT Incident","Email","No",""
"Advanced Medical Practice Management","NJ","Business Associate","56427","03/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Thomas Allen, Inc.","MN","Healthcare Provider","2803","03/23/2022","Hacking/IT Incident","Email","No",""
"Taylor Regional Hospital ","KY","Healthcare Provider","190209","03/21/2022","Hacking/IT Incident","Network Server","No",""
"Valley View Hospital Association","CO","Healthcare Provider","501","03/19/2022","Hacking/IT Incident","Email","No",""
"Cancer and Hematology Centers of Western Michigan ","MI","Healthcare Provider","43071","03/18/2022","Hacking/IT Incident","Network Server","No",""
"Wheeling Health Right Inc","WV","Healthcare Provider","3912","03/18/2022","Hacking/IT Incident","Network Server","No",""
"Clinic of North Texas, LLP","TX","Healthcare Provider","244174","03/18/2022","Hacking/IT Incident","Network Server","No",""
"Central Minnesota Mental Health Center","MN","Healthcare Provider","28725","03/17/2022","Hacking/IT Incident","Email","No",""
"Chelan Douglas Health District","WA","Healthcare Provider","188236","03/15/2022","Hacking/IT Incident","Network Server","No",""
"Laboratorio Clinico Toledo","","Healthcare Provider","500","03/14/2022","Hacking/IT Incident","Network Server","No",""
"Virginia Mason Medical Center","WA","Healthcare Provider","2733","03/14/2022","Hacking/IT Incident","Email","No",""
"Trinity Home Care, Inc.","MA","Healthcare Provider","1541","03/14/2022","Hacking/IT Incident","Network Server","No",""
"Capital Region Medical Center","MO","Healthcare Provider","17578","03/11/2022","Hacking/IT Incident","Network Server","No",""
"Local 295 IBT Employer Group Welfare Fund","NY","Health Plan","6123","03/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Major League Baseball Players Benefit Plan","MD","Health Plan","13156","03/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Labette Health","KS","Healthcare Provider","85635","03/11/2022","Hacking/IT Incident","Network Server","No",""
"Highmark Inc","PA","Health Plan","67147","03/11/2022","Hacking/IT Incident","Network Server","Yes",""
"Dialyze Direct, LLC","NJ","Healthcare Provider","14203","03/10/2022","Hacking/IT Incident","Email","No",""
"New Jersey Brain and Spine","NJ","Healthcare Provider","92453","03/10/2022","Hacking/IT Incident","Network Server","No",""
"Gainwell Technologies, LLC","TX","Business Associate","810","03/10/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Gainwell Technologies, LLC","TX","Business Associate","1955","03/10/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Horizon Actuarial Services, LLC (“Horizon Actuarial”)","GA","Business Associate","38418","03/09/2022","Hacking/IT Incident","Network Server","Yes",""
"Parkland Community Health Plan, Inc.","TX","Health Plan","1682","03/08/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Central Indiana Orthopedics","IN","Healthcare Provider","83705","03/07/2022","Hacking/IT Incident","Network Server","No",""
"Laboratorio Clínico Caparros","","Healthcare Provider","500","03/06/2022","Hacking/IT Incident","Network Server","No",""
"South Denver Cardiology Associates, PC","CO","Healthcare Provider","287652","03/04/2022","Hacking/IT Incident","Network Server","No",""
"Duncan Regional Hospital, Incorporated","OK","Healthcare Provider","86379","03/04/2022","Hacking/IT Incident","Network Server","No",""
"Indiana Hemophilia and Thrombosis Center, Inc.","IN","Healthcare Provider","2575","03/04/2022","Hacking/IT Incident","Email","No",""
"Familylinks","PA","Healthcare Provider","1494","03/04/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","Yes",""
"University of Michigan/Michigan Medicine","MI","Healthcare Provider","2921","03/03/2022","Hacking/IT Incident","Email","No",""
"Crossroads Health","OH","Healthcare Provider","10324","03/02/2022","Hacking/IT Incident","Network Server","No",""
"LGAA, LLC","UT","Health Plan","864","03/01/2022","Hacking/IT Incident","Network Server","No",""
"Monongalia Health System, Inc.","WV","Healthcare Provider","492861","02/28/2022","Hacking/IT Incident","Network Server","No",""
"UMass Memorial Health, Inc.","MA","Business Associate","4270","02/28/2022","Hacking/IT Incident","Email","Yes",""
"Montrose Regional Health","CO","Healthcare Provider","52632","02/25/2022","Hacking/IT Incident","Email","No",""
"Kittitas Valley Healthcare","WA","Healthcare Provider","3987","02/25/2022","Hacking/IT Incident","Network Server","Yes",""
"First Step of Sarasota, Inc.","FL","Healthcare Provider","1858","02/25/2022","Hacking/IT Incident","Network Server","No",""
"The Art & Science of Dermatology, P.C.","VA","Healthcare Provider","4500","02/25/2022","Loss","Desktop Computer","No",""
"Norwood Clinic","AL","Healthcare Provider","228000","02/25/2022","Hacking/IT Incident","Electronic Medical Record, Network Server","No",""
"Bako Diagnostics","GA","Healthcare Provider","25745","02/25/2022","Hacking/IT Incident","Network Server","No",""
"University Medical Center Southern Nevada","NV","Healthcare Provider","12230","02/24/2022","Hacking/IT Incident","Email","Yes",""
"Houston Health Department","TX","Healthcare Provider","10291","02/24/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Ultimate Care, Inc.","NY","Healthcare Provider","15788","02/23/2022","Hacking/IT Incident","Email","No",""
"CareOregon Advantage","OR","Health Plan","10467","02/23/2022","Unauthorized Access/Disclosure","Email","No",""
"The Puerto Rican Organization to Motivate, Enltighten, and Serve Addicts, Inc. ","NY","Healthcare Provider","30220","02/23/2022","Hacking/IT Incident","Email","No",""
"Cooperman Barnabas Medical Center","NJ","Healthcare Provider","538","02/23/2022","Hacking/IT Incident","Email","Yes",""
"Alliance Physical Therapy Group, LLC","MI","Business Associate","14970","02/23/2022","Hacking/IT Incident","Network Server","Yes",""
"Community Association of Progressive Dominicans, Inc. ","NY","Healthcare Provider","656","02/23/2022","Hacking/IT Incident","Email","No",""
"Bronx Addiction Services Integrated Concepts Systems, Inc. ","NY","Healthcare Provider","700","02/23/2022","Hacking/IT Incident","Email","No",""
"Zoe Therapy Services  ","VA","Healthcare Provider","1100","02/23/2022","Hacking/IT Incident","Email","No",""
"Logan Health Medical Center","MT","Healthcare Provider","213543","02/22/2022","Hacking/IT Incident","Network Server","No",""
"Ascension Michigan (single affiliated covered entity) ACE","MI","Healthcare Provider","27177","02/22/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Memorial village er","TX","Healthcare Provider","80000","02/19/2022","Hacking/IT Incident","Network Server","No",""
"US Radiology Specialists, Inc.","NC","Business Associate","87552","02/18/2022","Hacking/IT Incident","Network Server","Yes",""
"Bible Fellowship Church Homes, Inc. dba Fellowship Community","PA","Healthcare Provider","3500","02/18/2022","Hacking/IT Incident","Network Server","No",""
"Town Home Care, LLC","NJ","Healthcare Provider","5591","02/17/2022","Hacking/IT Incident","Network Server","No",""
"Liberty of Oklahoma Corporation ","PA","Business Associate","5746","02/17/2022","Hacking/IT Incident","Network Server","Yes",""
"Extend Fertility ","NY","Healthcare Provider","10373","02/16/2022","Hacking/IT Incident","Network Server","No",""
"Comprehensive Health Services","FL","Healthcare Provider","106752","02/15/2022","Hacking/IT Incident","Email","No",""
"Jersey City Medical Center","NJ","Healthcare Provider","1130","02/15/2022","Hacking/IT Incident","Email","Yes",""
"Aetna ACE","CT","Health Plan","893","02/15/2022","Hacking/IT Incident","Network Server","Yes",""
"Priority Health","MI","Health Plan","2111","02/14/2022","Hacking/IT Incident","Network Server","No",""
"Community Medical Center","NJ","Healthcare Provider","621","02/14/2022","Hacking/IT Incident","Email","Yes",""
"Jackson County Hospital District","FL","Healthcare Provider","501","02/11/2022","Hacking/IT Incident","Network Server","No",""
"Englewood Health","NJ","Healthcare Provider","582","02/11/2022","Hacking/IT Incident","Email","Yes",""
"Family Fare LLC","MI","Healthcare Provider","3892","02/11/2022","Hacking/IT Incident","Network Server","Yes",""
"CVS Pharmacy","RI","Healthcare Provider","6221","02/11/2022","Hacking/IT Incident","Network Server","No",""
"Jacksonville Spine Center, P.A.","FL","Healthcare Provider","38000","02/10/2022","Hacking/IT Incident","Network Server","No",""
"Summit BHC West Virginia, LLC d/b/a Highland Hospital","WV","Healthcare Provider","1298","02/10/2022","Hacking/IT Incident","Email","No",""
"EPIC Pharmacy Network, Inc.","VA","Healthcare Provider","28776","02/08/2022","Hacking/IT Incident","Email","No",""
"Seneca Nation Health System","NY","Healthcare Provider","12000","02/08/2022","Hacking/IT Incident","Network Server","No",""
"La Posada at Park Centre, Inc.","AZ","Health Plan","812","02/08/2022","Hacking/IT Incident","Network Server","No",""
"South Shore Hospital Corporation","IL","Healthcare Provider","115670","02/07/2022","Hacking/IT Incident","Network Server","No",""
"Cross Timbers Health Clinics, Inc/ d/b/a AccelHealth","TX","Healthcare Provider","48126","02/07/2022","Hacking/IT Incident","Network Server","No",""
"Hofmann Arthritis Institute PLLC and Hofmann Arthritis Institute of Nevada PLLC ","UT","Healthcare Provider","13320","02/04/2022","Hacking/IT Incident","Network Server","Yes",""
"Oklahoma Healthcare Authority (OHCA)","OK","Health Plan","8629","02/03/2022","Unauthorized Access/Disclosure","Network Server","Yes",""
"Morley Companies, Inc.","MI","Business Associate","521046","02/01/2022","Hacking/IT Incident","Network Server","Yes",""
"North Shore University Hospital","NY","Healthcare Provider","7614","02/01/2022","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Catholic Hospice, Inc.","FL","Healthcare Provider","14986","01/31/2022","Hacking/IT Incident","Email","No",""
"Philadelphia FIGHT Community Health Centers","PA","Healthcare Provider","17067","01/28/2022","Hacking/IT Incident","Network Server","No",""
"Family Christian Health Center","IL","Healthcare Provider","31000","01/28/2022","Hacking/IT Incident","Network Server","No",""
"Pace Center for Girls","FL","Healthcare Provider","18300","01/26/2022","Unauthorized Access/Disclosure","Network Server","No",""
"Spencer Gifts LLC Health and Welfare Benefit Plan","NJ","Health Plan","10023","01/24/2022","Hacking/IT Incident","Network Server","No",""
"OneDigital OBO Guardian Life Insurance Company of America","NY","Business Associate","800","01/24/2022","Hacking/IT Incident","Network Server","Yes",""
"Seneca Family of Agencies","CA","Business Associate","1528","01/22/2022","Hacking/IT Incident","Network Server","Yes",""
"Medical Healthcare Solutions, Inc. ","MA","Business Associate","133997","01/22/2022","Hacking/IT Incident","Network Server","Yes",""
"iRise Florida Spine and Joint Institute, LLC","FL","Healthcare Provider","61595","01/21/2022","Hacking/IT Incident","Email","No",""
"Independence Blue Cross","PA","Health Plan","591","01/21/2022","Hacking/IT Incident","Network Server","No",""
"County of Kings, a political subdivision of the State of California","CA","Healthcare Provider","16590","01/21/2022","Hacking/IT Incident","Network Server","No",""
"Walgreen Co.","IL","Healthcare Provider","1471","01/21/2022","Unauthorized Access/Disclosure","Paper/Films","No",""
"University of Arkansas for Medical Sciences ","AR","Healthcare Provider","518","01/21/2022","Unauthorized Access/Disclosure","Email","No",""
"Allegheny Health Network Home Infusion, LLC","PA","Healthcare Provider","15342","01/21/2022","Hacking/IT Incident","Network Server","Yes",""
"Advocates, Inc.","MA","Healthcare Provider","68236","01/21/2022","Hacking/IT Incident","Network Server","No",""
"DataHEALTH, Inc.","TX","Business Associate","2459","01/20/2022","Hacking/IT Incident","Network Server","Yes",""
"Abington Memorial Hospital (dba Jefferson Abington Hospital) ","PA","Healthcare Provider","3475","01/20/2022","Hacking/IT Incident","Network Server","No",""
"Thomas Jefferson University Hospital, Inc. ","PA","Healthcare Provider","5239","01/20/2022","Hacking/IT Incident","Network Server","No",""
"Medical Review Institute of America","UT","Business Associate","2406","01/20/2022","Hacking/IT Incident","Network Server","Yes",""
"Caring Communities","IL","Business Associate","1659","01/20/2022","Hacking/IT Incident","Other","Yes",""
"Colorado Department of Human Services","CO","Healthcare Provider","6132","01/19/2022","Hacking/IT Incident","Network Server","Yes",""
"Golden State Dermatology","CA","Healthcare Provider","1010","01/19/2022","Unauthorized Access/Disclosure","Paper/Films","Yes",""
"Walworth County, Wisconsin","WI","Healthcare Provider","500","01/18/2022","Hacking/IT Incident","Email","No",""
